Date,Close,High,Low,Open,Volume
29-01-2016,106.9499969,107,106.2600021,106.6100006,8098700
01-02-2016,108.0500031,108.1500015,107.5299988,107.5400009,10471800
02-02-2016,108.0899963,108.1800003,107.3499985,107.9199982,6656000
03-02-2016,109.25,109.5800018,107.9000015,107.9100037,15785200
04-02-2016,110.5699997,110.6999969,109.9199982,110.4499969,13213700
05-02-2016,112.3199997,112.3499985,109.5800018,109.7900009,14777300
08-02-2016,113.8300018,114.8700027,113.3899994,113.6699982,28341200
09-02-2016,113.5800018,114.6900024,113.5500031,114.4300003,18156700
10-02-2016,114.4599991,114.5199966,112.9800034,113.9199982,13311100
11-02-2016,119.0599976,120.8399963,117.7699966,118.5899963,49139000
12-02-2016,118.3600006,118.7399979,117.8799973,118.1200027,16981200
16-02-2016,114.7699966,116.3099976,114.7399979,116,14601700
17-02-2016,115.4800034,116.0699997,114.8899994,115.4700012,10582400
18-02-2016,118.2900009,118.5999985,115.2900009,115.3000031,13586500
19-02-2016,117.5800018,117.9700012,117.0999985,117.2600021,15192000
22-02-2016,115.4899979,116.1900024,115.4100037,115.4400024,10677800
23-02-2016,117.2200012,117.4199982,116.5199966,116.6800003,9033400
24-02-2016,117.6100006,119.8600006,117.3499985,119,17938800
25-02-2016,117.9199982,118.9100037,117.5400009,117.6200027,12500300
26-02-2016,117.1100006,117.7200012,115.8600006,117.4300003,12505100
29-02-2016,118.6399994,118.6999969,117.5299988,117.5899963,11517500
01-03-2016,117.7699966,119.1100006,117.3399963,118.7399979,14139300
02-03-2016,118.6800003,118.9700012,118.0699997,118.3399963,8903000
03-03-2016,120.7300034,121.3000031,118.8099976,118.8600006,18724100
04-03-2016,120.5400009,122.3700027,120.2200012,121.1299973,16261100
07-03-2016,121.1399994,121.5800018,120.4100037,121.1800003,9358600
08-03-2016,120.5800018,121.8799973,120.4700012,121.7900009,11531000
09-03-2016,119.5800018,120.3899994,118.8399963,119.1999969,8672900
10-03-2016,121.5,121.7600021,120.4199982,120.5,18104900
11-03-2016,119.4100037,121.3899994,119.3600006,121.1900024,10812300
14-03-2016,117.8700027,120.3099976,117.5,120.2699966,14236200
15-03-2016,117.9599991,118.0400009,117.3600006,117.7799988,9941800
16-03-2016,120.5899963,120.7600021,117.3399963,117.4199982,17334000
17-03-2016,120.1299973,121.1800003,120.0299988,121.1600037,9914300
18-03-2016,119.8000031,120.3399963,119.5100021,119.5899963,16965900
21-03-2016,118.9599991,119.3300018,118.7300034,119,7240600
22-03-2016,119.3099976,120.1600037,118.9599991,119.7300034,6786800
23-03-2016,116.6100006,117.1200027,116.1600037,116.7399979,15993700
24-03-2016,116.3300018,116.9400024,116.3000031,116.7699966,6280900
28-03-2016,116.5999985,116.9100037,116.2699966,116.7300034,3879100
29-03-2016,118.7600021,118.8099976,116.8000031,117.3600006,14472400
30-03-2016,117.0999985,118.1999969,116.9100037,117.8799973,10769100
31-03-2016,117.6399994,118.3899994,117.5999985,118.1600037,9348200
01-04-2016,116.9300003,116.9800034,115.5500031,116.0800018,10405400
04-04-2016,116.1500015,116.7300034,116.0699997,116.6699982,7643700
05-04-2016,117.6600037,117.9300003,117.1500015,117.7600021,8865900
06-04-2016,116.9400024,117.3899994,116.2600021,116.6999969,7549400
07-04-2016,118.6100006,118.8499985,115,118.6500015,11900500
08-04-2016,118.4300003,118.7699966,117.9800034,118.0699997,9078900
11-04-2016,120.0299988,120.3000031,119.4199982,119.4700012,9846000
12-04-2016,120.0500031,120.3499985,119.5500031,120.2300034,9689500
13-04-2016,118.7699966,119.4300003,118.5599976,119.3700027,8841500
14-04-2016,117.1100006,118.1900024,116.9499969,118.0899963,13165800
15-04-2016,117.9199982,118.1200027,117.1900024,117.3300018,7838100
18-04-2016,117.7399979,118.5599976,117.6299973,118.5299988,5809800
19-04-2016,119.5800018,120.0899963,119.3700027,119.8700027,21031500
20-04-2016,118.9700012,120.0800018,118.7200012,119.6699982,10233200
21-04-2016,119.4199982,120.5500031,119.1299973,120.4199982,14612800
22-04-2016,117.8899994,119.0199966,117.2799988,118.7099991,10047000
25-04-2016,118.2300034,118.7099991,118.1100006,118.1399994,4369400
26-04-2016,118.6999969,118.8899994,118.4499969,118.7900009,9906800
27-04-2016,119.0400009,119.6999969,118.4300003,118.9700012,7976400
28-04-2016,121.2900009,121.4199982,119.7300034,119.9199982,15133600
29-04-2016,123.6500015,123.9300003,122.3399963,122.4300003,19043900
02-05-2016,123.2399979,123.9599991,123.0500031,123.7799988,12137500
03-05-2016,122.9599991,123.8199997,122.5100021,123.7300034,9063600
04-05-2016,122.2099991,123.2300034,121.5100021,122.8499985,9398200
05-05-2016,122.0699997,122.7300034,121.25,122.6299973,8846900
06-05-2016,123.1800003,123.8099976,122.5899963,122.8300018,11366800
09-05-2016,120.6500015,121.2900009,120.5899963,121.1999969,9236200
10-05-2016,120.9800034,121.3799973,120.0800018,120.7399979,9845000
11-05-2016,122.1200027,122.1600037,121.3799973,121.8499985,7590100
12-05-2016,121.1600037,122.3899994,121,122.0199966,7447100
13-05-2016,121.7099991,121.8600006,120.6600037,121.0899963,7672800
16-05-2016,121.8000031,122.9700012,121.3799973,122.9300003,7103000
17-05-2016,122.2200012,122.5199966,121.4800034,121.5800018,8619800
18-05-2016,120.0999985,121.9199982,119.8799973,121.2200012,13381700
19-05-2016,119.8700027,119.9800034,118.9199982,119,14339700
20-05-2016,119.7099991,120.3199997,119.3099976,120.1900024,10379400
23-05-2016,119.3700027,119.5999985,118.75,118.8600006,8628200
24-05-2016,117.3000031,118.2300034,117.25,118.1699982,12772000
25-05-2016,116.9800034,117.0599976,116.3199997,116.5899963,10487300
26-05-2016,116.5800018,117.6299973,116.3899994,117.5699997,5893500
27-05-2016,115.6200027,116.3600006,115.2900009,116.2699966,8686700
31-05-2016,116.0599976,116.4000015,115.5,115.7600021,8187600
01-06-2016,115.9400024,116.1399994,115.1999969,115.9700012,8399600
02-06-2016,115.6699982,115.9700012,115.5800018,115.7799988,4591600
03-06-2016,118.8799973,118.8899994,118.2300034,118.25,14605100
06-06-2016,118.9199982,119.1699982,118.4599991,118.8899994,9887900
07-06-2016,118.8199997,119.0199966,118.4100037,118.5,4602900
08-06-2016,120.5800018,120.7799988,120.2300034,120.3000031,11661700
09-06-2016,121.25,121.4800034,120.5500031,120.6100006,12174000
10-06-2016,121.7399979,122.0999985,121.1800003,121.5500031,13940000
13-06-2016,122.6399994,122.8300018,122.0299988,122.8000031,12594200
14-06-2016,122.7699966,123.0599976,122.3000031,123,11651700
15-06-2016,123.6800003,123.8700027,122.3799973,122.5199966,15053000
16-06-2016,122.3799973,125.6699982,122.2300034,125.1699982,26635000
17-06-2016,123.9499969,124.0999985,122.6900024,123.2600021,15573800
20-06-2016,123.2099991,123.3300018,122.1299973,122.2600021,11866200
21-06-2016,120.8399963,121.8600006,120.7699966,121.6500015,14585600
22-06-2016,120.9000015,121.25,120.6800003,120.8300018,7861000
23-06-2016,120.1100006,121.0299988,120.0599976,120.4899979,10704900
24-06-2016,126,126.8199997,125,126.6200027,35782900
27-06-2016,126.6800003,127.0500031,125.8300018,126.4400024,21228800
28-06-2016,125.3199997,126.0199966,125.0599976,125.5599976,16001500
29-06-2016,125.8399963,126.8099976,125.6999969,125.9100037,12218400
30-06-2016,126.4700012,126.5199966,125.5,125.9499969,15981600
01-07-2016,128.4100037,128.4199982,127.4400024,127.6600037,14940700
05-07-2016,129.4700012,129.5899963,128.1699982,128.8000031,19026200
06-07-2016,130.2299957,131.1499939,129.8200073,130.5,17376700
07-07-2016,129.7400055,130.1199951,128.9799957,129.8200073,16508500
08-07-2016,130.5200043,130.5200043,128.9700012,129.8500061,17634200
11-07-2016,129.2899933,129.8999939,129.1600037,129.4900055,10855600
12-07-2016,127.1500015,128.5399933,126.9899979,128.5200043,26459600
13-07-2016,128.3200073,128.4299927,127.6100006,128,7377700
14-07-2016,127.3300018,127.3700027,126.0299988,126.3099976,12132400
15-07-2016,126.8399963,127.1900024,126.3300018,126.3799973,13892100
18-07-2016,127.0400009,127.5,126.6299973,127.0199966,8489700
19-07-2016,127.2099991,127.3499985,126.8199997,126.9499969,5170700
20-07-2016,125.3899994,126.1200027,125.3099976,125.5,11777700
21-07-2016,127.3000031,127.3700027,125.5999985,125.6600037,9399200
22-07-2016,126.3499985,126.5199966,126.0100021,126.4300003,7716000
25-07-2016,125.4700012,126.2099991,125.1100006,125.5299988,13139400
26-07-2016,126,126.1399994,125.75,126.0899963,7613200
27-07-2016,128.0299988,128.1199951,126.0400009,126.7900009,17066400
28-07-2016,127.6600037,128.1999969,127.2099991,128.0899963,9261800
29-07-2016,128.9799957,129.4100037,127.8799973,128.4199982,13708200
01-08-2016,129.2200012,129.3399963,128.5599976,128.5700073,7109900
02-08-2016,130.2700043,130.5500031,129.9400024,130.0399933,7652800
03-08-2016,129.6499939,129.9600067,129.2700043,129.9499969,5010700
04-08-2016,129.8699951,130.2799988,129.8200073,130.0099945,4908100
05-08-2016,127.5500031,128.5500031,127.3899994,128.4600067,16205100
08-08-2016,127.4400024,127.6999969,127.2699966,127.2900009,6773800
09-08-2016,127.9599991,128.1399994,127.75,127.9400024,7500400
10-08-2016,128.5599976,129.1999969,128.1499939,129.1199951,6196200
11-08-2016,127.6699982,129.1900024,127.4800034,128.6100006,9763800
12-08-2016,127.4000015,129.2599945,127.1999969,127.6699982,15395800
15-08-2016,127.8399963,128.25,127.5999985,127.6200027,4530800
16-08-2016,128.4700012,129.0399933,128,128.1199951,8678100
17-08-2016,128.5,128.9900055,127.4599991,128.1699982,12034800
18-08-2016,129.1100006,129.1699982,128.5800018,128.8899994,9500600
19-08-2016,127.9700012,128.6699982,127.8600006,128.0800018,10660100
22-08-2016,127.7799988,127.9199982,127.4499969,127.6299973,8627200
23-08-2016,127.7600021,128.2200012,127.6100006,128.1399994,9038500
24-08-2016,126.3399963,126.9700012,126.3000031,126.9199982,13539700
25-08-2016,126.2300034,126.3099976,125.9599991,125.9800034,5926300
26-08-2016,126.0500031,128.1100006,125.8199997,126.8799973,17967700
29-08-2016,126.3000031,126.4800034,125.9300003,126,5562400
30-08-2016,125.0299988,125.9499969,124.8799973,125.7300034,9877000
31-08-2016,124.7799988,125.1100006,124.6399994,124.7300034,13324100
01-09-2016,125.2900009,125.5100021,124.5500031,124.6699982,12877700
02-09-2016,126.5699997,126.5699997,125.5800018,126.2900009,11318600
06-09-2016,128.7100067,129.0800018,127.2699966,127.4000015,15115300
07-09-2016,128.2700043,128.8600006,128.1199951,128.7899933,8859800
08-09-2016,127.5899963,128.5200043,127.4000015,128.1600037,10561800
09-09-2016,126.75,127.5100021,126.6999969,127.2399979,12485600
12-09-2016,126.5899963,126.9199982,125.9700012,126.3099976,11140300
13-09-2016,125.75,126.5999985,125.5299988,126.4700012,8866400
14-09-2016,126.1800003,126.5400009,126.0299988,126.0999985,5820700
15-09-2016,125.3700027,126.0999985,124.9100037,125.7300034,12790400
16-09-2016,125.0599976,125.25,124.6699982,124.8099976,18995100
19-09-2016,125.3199997,125.6200027,125.25,125.6100006,4959600
20-09-2016,125.4400024,125.5899963,125.1699982,125.3099976,5672000
21-09-2016,127.2699966,127.4199982,125.9599991,126.3300018,13646400
