DateTime,Date,Time,Year,Month,Day,Hour,Open,High,Low,Close,Volume,Price_Change,Price_Change_Percent
2024-02-11 18:00:00-05:00,2024-02-11,18:00:00,2024,2,11,18,2038.199951171875,2041.199951171875,2037.5,2039.5999755859375,2004,,
2024-02-11 19:00:00-05:00,2024-02-11,19:00:00,2024,2,11,19,2039.699951171875,2040.199951171875,2039.0999755859375,2039.4000244140625,717,-0.199951171875,-0.009803450395584612
2024-02-11 20:00:00-05:00,2024-02-11,20:00:00,2024,2,11,20,2039.4000244140625,2040.800048828125,2037.5,2037.5,2041,-1.9000244140625,-0.09316585227601148
2024-02-11 21:00:00-05:00,2024-02-11,21:00:00,2024,2,11,21,2037.5,2037.800048828125,2036.0,2036.199951171875,1358,-1.300048828125,-0.06380607745398725
2024-02-11 22:00:00-05:00,2024-02-11,22:00:00,2024,2,11,22,2036.199951171875,2036.800048828125,2035.699951171875,2036.5999755859375,1009,0.4000244140625,0.019645635185883137
2024-02-11 23:00:00-05:00,2024-02-11,23:00:00,2024,2,11,23,2036.5999755859375,2037.9000244140625,2036.300048828125,2036.9000244140625,1017,0.300048828125,0.01473283078277099
2024-02-12 00:00:00-05:00,2024-02-12,00:00:00,2024,2,12,0,2037.0,2037.9000244140625,2036.800048828125,2037.699951171875,843,0.7999267578125,0.039271773195781456
2024-02-12 01:00:00-05:00,2024-02-12,01:00:00,2024,2,12,1,2037.5999755859375,2038.5999755859375,2037.300048828125,2038.0,1121,0.300048828125,0.014724877818861337
2024-02-12 02:00:00-05:00,2024-02-12,02:00:00,2024,2,12,2,2038.0,2040.4000244140625,2036.9000244140625,2039.5999755859375,2706,1.5999755859375,0.07850714356907318
2024-02-12 03:00:00-05:00,2024-02-12,03:00:00,2024,2,12,3,2039.5,2041.0,2037.4000244140625,2037.5,3361,-2.0999755859375,-0.10296016920348094
2024-02-12 04:00:00-05:00,2024-02-12,04:00:00,2024,2,12,4,2037.5999755859375,2037.9000244140625,2033.699951171875,2034.5999755859375,5332,-2.9000244140625,-0.14233248657975484
2024-02-12 05:00:00-05:00,2024-02-12,05:00:00,2024,2,12,5,2034.5,2035.199951171875,2033.699951171875,2035.0,3714,0.4000244140625,0.0196610841866951
2024-02-12 06:00:00-05:00,2024-02-12,06:00:00,2024,2,12,6,2035.0999755859375,2036.699951171875,2034.300048828125,2035.9000244140625,2990,0.9000244140625,0.04422724393426947
2024-02-12 07:00:00-05:00,2024-02-12,07:00:00,2024,2,12,7,2035.9000244140625,2036.4000244140625,2034.5,2035.4000244140625,2710,-0.5,-0.024559162729220763
2024-02-12 08:00:00-05:00,2024-02-12,08:00:00,2024,2,12,8,2035.4000244140625,2041.800048828125,2032.199951171875,2032.800048828125,17811,-2.5999755859375,-0.12773781835273557
2024-02-12 09:00:00-05:00,2024-02-12,09:00:00,2024,2,12,9,2032.800048828125,2034.199951171875,2026.699951171875,2028.699951171875,19997,-4.10009765625,-0.20169704632846397
2024-02-12 10:00:00-05:00,2024-02-12,10:00:00,2024,2,12,10,2028.5,2030.800048828125,2025.5999755859375,2026.800048828125,11733,-1.89990234375,-0.09365122440371243
2024-02-12 11:00:00-05:00,2024-02-12,11:00:00,2024,2,12,11,2026.800048828125,2030.0999755859375,2025.4000244140625,2029.5999755859375,8503,2.7999267578125,0.13814518898553896
2024-02-12 12:00:00-05:00,2024-02-12,12:00:00,2024,2,12,12,2029.5999755859375,2034.4000244140625,2029.300048828125,2033.0999755859375,7966,3.5,0.17244777503455655
2024-02-12 13:00:00-05:00,2024-02-12,13:00:00,2024,2,12,13,2033.0999755859375,2035.300048828125,2031.5,2035.199951171875,8132,2.0999755859375,0.10328934194847594
2024-02-12 14:00:00-05:00,2024-02-12,14:00:00,2024,2,12,14,2035.199951171875,2035.300048828125,2032.199951171875,2032.800048828125,3326,-2.39990234375,-0.11791973276965573
2024-02-12 15:00:00-05:00,2024-02-12,15:00:00,2024,2,12,15,2032.800048828125,2034.300048828125,2032.5999755859375,2033.9000244140625,2338,1.0999755859375,0.05411135180617421
2024-02-12 16:00:00-05:00,2024-02-12,16:00:00,2024,2,12,16,2033.9000244140625,2034.4000244140625,2033.4000244140625,2033.800048828125,928,-0.0999755859375,-0.00491546215337646
2024-02-12 18:00:00-05:00,2024-02-12,18:00:00,2024,2,12,18,2033.699951171875,2034.0999755859375,2032.4000244140625,2032.5,0,-1.300048828125,-0.06392215541907165
